complex_id,pdb_id,protein_chain,ligand_resname,ligand_smiles,target_name,species,uniprot_id,label_type,label_value,label_unit,activity_type,n_measurements,molecule_chembl_ids,template_structure_id,template_quality_score,template_resolution,template_ligand_resname,data_source,pdb_path
4gv1_A_0XZ_2543,4gv1,A,0XZ,,AKT1,HOMO SAPIENS,,KLIFS_quality_score,8.0,unitless,template_quality,1,,2543,8,1.49,0XZ,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/4gv1.pdb
3e8d_B_G98_1925,3e8d,B,G98,,AKT2,HOMO SAPIENS,,KLIFS_quality_score,9.4,unitless,template_quality,1,,1925,9.4,2.7,G98,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/3e8d.pdb
4z55_A_4LO_6392,4z55,A,4LO,,ALK,HOMO SAPIENS,,KLIFS_quality_score,8.0,unitless,template_quality,1,,6392,8,1.55,4LO,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/4z55.pdb
4af3_A_VX6_407,4af3,A,VX6,,AurB,HOMO SAPIENS,,KLIFS_quality_score,7.0,unitless,template_quality,1,,407,7,2.75,VX6,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/4af3.pdb
6unp_A_ADP_13794,6unp,A,ADP,,BMPR2,HOMO SAPIENS,,KLIFS_quality_score,7.6,unitless,template_quality,1,,13794,7.6,2.3,ADP,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/6unp.pdb
6f7b_A_CVQ_10807,6f7b,A,CVQ,,BUB1,HOMO SAPIENS,,KLIFS_quality_score,7.6,unitless,template_quality,1,,10807,7.6,2,CVQ,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/6f7b.pdb
6cd6_D_DXV_9708,6cd6,D,DXV,,CaMKK1,HOMO SAPIENS,,KLIFS_quality_score,7.7,unitless,template_quality,1,,9708,7.7,2.2,DXV,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/6cd6.pdb
5uyj_A_8R7_7559,5uyj,A,8R7,,CaMKK2,HOMO SAPIENS,,KLIFS_quality_score,9.6,unitless,template_quality,1,,7559,9.6,1.6,8R7,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/5uyj.pdb
7oai_A_V5W_13583,7oai,A,V5W,,CASK,HOMO SAPIENS,,KLIFS_quality_score,9.7,unitless,template_quality,1,,13583,9.7,2.3,V5W,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/7oai.pdb
3tku_B_M77_4859,3tku,B,M77,,MRCKb,HOMO SAPIENS,,KLIFS_quality_score,9.4,unitless,template_quality,1,,4859,9.4,2.15,M77,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/3tku.pdb
6ya6_A_0SX_13841,6ya6,A,0SX,,CDC7,HOMO SAPIENS,,KLIFS_quality_score,8.0,unitless,template_quality,1,,13841,8,1.44,0SX,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/6ya6.pdb
6gu2_A_F9Z_10776,6gu2,A,F9Z,,CDC2,HOMO SAPIENS,,KLIFS_quality_score,8.0,unitless,template_quality,1,,10776,8,2,F9Z,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/6gu2.pdb
4nst_C_ADP_4851,4nst,C,ADP,,CRK7,HOMO SAPIENS,,KLIFS_quality_score,9.6,unitless,template_quality,1,,4851,9.6,2.2,ADP,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/4nst.pdb
5efq_A_ADP_6323,5efq,A,ADP,,CHED,HOMO SAPIENS,,KLIFS_quality_score,9.2,unitless,template_quality,1,,6323,9.2,2,ADP,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/5efq.pdb
5g6v_A_919_7273,5g6v,A,919,,PCTAIRE1,HOMO SAPIENS,,KLIFS_quality_score,8.5,unitless,template_quality,1,,7273,8.5,2.2,919,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/5g6v.pdb
6q4f_A_26D_11211,6q4f,A,26D,,CDK2,HOMO SAPIENS,,KLIFS_quality_score,9.6,unitless,template_quality,1,,11211,9.6,1.21,26D,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/6q4f.pdb
2w96_B_0_3390,2w96,B,0,,CDK4,HOMO SAPIENS,,KLIFS_quality_score,8.0,unitless,template_quality,1,,3390,8,2.3,0,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/2w96.pdb
4au8_B_Z3R_2781,4au8,B,Z3R,,CDK5,HOMO SAPIENS,,KLIFS_quality_score,8.0,unitless,template_quality,1,,2781,8,1.9,Z3R,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/4au8.pdb
1blx_A_0_2802,1blx,A,0,,CDK6,HOMO SAPIENS,,KLIFS_quality_score,9.8,unitless,template_quality,1,,2802,9.8,1.9,0,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/1blx.pdb
6o9l_8_0_11055,6o9l,8,0,,CDK7,HOMO SAPIENS,,KLIFS_quality_score,8.0,unitless,template_quality,1,,11055,8,0,0,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/6o9l.pdb
5bnj_A_4TV_6152,5bnj,A,4TV,,CDK8,HOMO SAPIENS,,KLIFS_quality_score,8.3,unitless,template_quality,1,,6152,8.3,2.64,4TV,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/5bnj.pdb
4ogr_I_ADN_2241,4ogr,I,ADN,,CDK9,HOMO SAPIENS,,KLIFS_quality_score,9.7,unitless,template_quality,1,,2241,9.7,3,ADN,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/4ogr.pdb
4agu_A_D15_761,4agu,A,D15,,CDKL1,HOMO SAPIENS,,KLIFS_quality_score,8.0,unitless,template_quality,1,,761,8,2.4,D15,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/4agu.pdb
4aaa_A_DKI_962,4aaa,A,DKI,,CDKL2,HOMO SAPIENS,,KLIFS_quality_score,9.1,unitless,template_quality,1,,962,9.1,1.53,DKI,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/4aaa.pdb
3zdu_A_38R_4677,3zdu,A,38R,,CDKL3,HOMO SAPIENS,,KLIFS_quality_score,8.5,unitless,template_quality,1,,4677,8.5,2.2,38R,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/3zdu.pdb
4bgq_A_38R_1425,4bgq,A,38R,,CDKL5,HOMO SAPIENS,,KLIFS_quality_score,8.2,unitless,template_quality,1,,1425,8.2,2,38R,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/4bgq.pdb
7ako_B_STU_13492,7ako,B,STU,,CHK1,HOMO SAPIENS,,KLIFS_quality_score,9.9,unitless,template_quality,1,,13492,9.9,1.8,STU,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/7ako.pdb
2ycf_A_YCF_4774,2ycf,A,YCF,,CHK2,HOMO SAPIENS,,KLIFS_quality_score,8.0,unitless,template_quality,1,,4774,8,1.77,YCF,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/2ycf.pdb
5ebz_D_5TL_7144,5ebz,D,5TL,,IKKa,HOMO SAPIENS,,KLIFS_quality_score,8.0,unitless,template_quality,1,,7144,8,4.5,5TL,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/5ebz.pdb
6khd_B_3NG_11644,6khd,B,3NG,,CLK1,HOMO SAPIENS,,KLIFS_quality_score,9.8,unitless,template_quality,1,,11644,9.8,2.7,3NG,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/6khd.pdb
3nr9_A_NR9_1927,3nr9,A,NR9,,CLK2,HOMO SAPIENS,,KLIFS_quality_score,9.6,unitless,template_quality,1,,1927,9.6,2.89,NR9,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/3nr9.pdb
6z2v_A_KHC_12636,6z2v,A,KHC,,CLK3,HOMO SAPIENS,,KLIFS_quality_score,9.7,unitless,template_quality,1,,12636,9.7,2.6,KHC,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/6z2v.pdb
6fyv_A_3NG_10510,6fyv,A,3NG,,CLK4,HOMO SAPIENS,,KLIFS_quality_score,8.0,unitless,template_quality,1,,10510,8,2.46,3NG,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/6fyv.pdb
7udq_A_MVS_14588,7udq,A,MVS,,ADCK3,HOMO SAPIENS,,KLIFS_quality_score,7.6,unitless,template_quality,1,,14588,7.6,1.9,MVS,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/7udq.pdb
3lcd_A_BDY_1241,3lcd,A,BDY,,FMS,HOMO SAPIENS,,KLIFS_quality_score,9.4,unitless,template_quality,1,,1241,9.4,2.5,BDY,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/3lcd.pdb
3d7u_A_0_2942,3d7u,A,0,,CSK,HOMO SAPIENS,,KLIFS_quality_score,8.0,unitless,template_quality,1,,2942,8,4.11,0,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/3d7u.pdb
5fqd_C_0_6415,5fqd,C,0,,CK1a,HOMO SAPIENS,,KLIFS_quality_score,9.9,unitless,template_quality,1,,6415,9.9,2.45,0,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/5fqd.pdb
5x17_A_ADP_8544,5x17,A,ADP,,CK1d,MUS MUSCULUS,,KLIFS_quality_score,9.6,unitless,template_quality,1,,8544,9.6,2,ADP,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/5x17.pdb
6hmr_B_0_11611,6hmr,B,0,,CK1d,HOMO SAPIENS,,KLIFS_quality_score,9.7,unitless,template_quality,1,,11611,9.7,1.78,0,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/6hmr.pdb
4hok_M_0_1727,4hok,M,0,,CK1e,HOMO SAPIENS,,KLIFS_quality_score,9.0,unitless,template_quality,1,,1727,9,2.77,0,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/4hok.pdb
2cmw_A_OLP_5566,2cmw,A,OLP,,CK1g1,HOMO SAPIENS,,KLIFS_quality_score,9.6,unitless,template_quality,1,,5566,9.6,1.75,OLP,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/2cmw.pdb
2c47_B_5ID_4620,2c47,B,5ID,,CK1g2,HOMO SAPIENS,,KLIFS_quality_score,7.0,unitless,template_quality,1,,4620,7,2.4,5ID,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/2c47.pdb
6gro_A_F92_10002,6gro,A,F92,,CK1g3,HOMO SAPIENS,,KLIFS_quality_score,8.7,unitless,template_quality,1,,10002,8.7,1.45,F92,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/6gro.pdb
5cu3_B_54S_6897,5cu3,B,54S,,CK2a1,HOMO SAPIENS,,KLIFS_quality_score,9.9,unitless,template_quality,1,,6897,9.9,1.79,54S,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/5cu3.pdb
6qy9_A_JL2_11011,6qy9,A,JL2,,CK2a2,HOMO SAPIENS,,KLIFS_quality_score,8.9,unitless,template_quality,1,,11011,8.9,1.5,JL2,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/6qy9.pdb
4pf4_A_0_5643,4pf4,A,0,,DAPK1,HOMO SAPIENS,,KLIFS_quality_score,9.6,unitless,template_quality,1,,5643,9.6,1.13,0,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/4pf4.pdb
2yab_B_AMP_5745,2yab,B,AMP,,DAPK2,MUS MUSCULUS,,KLIFS_quality_score,8.0,unitless,template_quality,1,,5745,8,1.9,AMP,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/2yab.pdb
2a2a_D_0_1120,2a2a,D,0,,DAPK2,HOMO SAPIENS,,KLIFS_quality_score,8.0,unitless,template_quality,1,,1120,8,1.47,0,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/2a2a.pdb
2j90_A_IZA_382,2j90,A,IZA,,DAPK3,HOMO SAPIENS,,KLIFS_quality_score,9.4,unitless,template_quality,1,,382,9.4,2,IZA,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/2j90.pdb
5jzj_A_AN2_6984,5jzj,A,AN2,,DCLK1,HOMO SAPIENS,,KLIFS_quality_score,9.4,unitless,template_quality,1,,6984,9.4,1.71,AN2,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/5jzj.pdb
6brj_A_VX6_10760,6brj,A,VX6,,DDR1,HOMO SAPIENS,,KLIFS_quality_score,9.6,unitless,template_quality,1,,10760,9.6,2.23,VX6,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/6brj.pdb
6fer_K_D6Q_10725,6fer,K,D6Q,,DDR2,HOMO SAPIENS,,KLIFS_quality_score,7.6,unitless,template_quality,1,,10725,7.6,2.87,D6Q,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/6fer.pdb
2vd5_A_BI8_1901,2vd5,A,BI8,,DMPK1,HOMO SAPIENS,,KLIFS_quality_score,9.4,unitless,template_quality,1,,1901,9.4,2.8,BI8,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/2vd5.pdb
5aik_B_AWR_3759,5aik,B,AWR,,DYRK1A,HOMO SAPIENS,,KLIFS_quality_score,9.8,unitless,template_quality,1,,3759,9.8,2.7,AWR,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/5aik.pdb
8c2z_A_QS0_15180,8c2z,A,QS0,,DYRK1B,HOMO SAPIENS,,KLIFS_quality_score,8.0,unitless,template_quality,1,,15180,8,1.91,QS0,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/8c2z.pdb
6hdr_A_CC9_11571,6hdr,A,CC9,,DYRK2,HOMO SAPIENS,,KLIFS_quality_score,9.8,unitless,template_quality,1,,11571,9.8,2.2,CC9,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/6hdr.pdb
5y86_A_HRM_9876,5y86,A,HRM,,DYRK3,HOMO SAPIENS,,KLIFS_quality_score,8.0,unitless,template_quality,1,,9876,8,1.9,HRM,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/5y86.pdb
5d41_B_ANP_6664,5d41,B,ANP,,EGFR,HOMO SAPIENS,,KLIFS_quality_score,9.9,unitless,template_quality,1,,6664,9.9,2.31,ANP,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/5d41.pdb
8qel_B_UH3_14954,8qel,B,UH3,,PKR,HOMO SAPIENS,,KLIFS_quality_score,8.0,unitless,template_quality,1,,14954,8,2.451,UH3,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/8qel.pdb
3qd2_B_0_5802,3qd2,B,0,,PEK,MUS MUSCULUS,,KLIFS_quality_score,3.2,unitless,template_quality,1,,5802,3.2,2.81,0,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/3qd2.pdb
4x7k_A_3Z3_7242,4x7k,A,3Z3,,PEK,HOMO SAPIENS,,KLIFS_quality_score,8.8,unitless,template_quality,1,,7242,8.8,1.8,3Z3,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/4x7k.pdb
7qq6_A_38O_14116,7qq6,A,38O,,GCN2,HOMO SAPIENS,,KLIFS_quality_score,5.0,unitless,template_quality,1,,14116,5,2.8,38O,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/7qq6.pdb
8qqy_A_WT3_15000,8qqy,A,WT3,,EphA2,HOMO SAPIENS,,KLIFS_quality_score,8.4,unitless,template_quality,1,,15000,8.4,1.8,WT3,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/8qqy.pdb
4gk3_A_L87_2885,4gk3,A,L87,,EphA3,HOMO SAPIENS,,KLIFS_quality_score,9.6,unitless,template_quality,1,,2885,9.6,1.9,L87,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/4gk3.pdb
2y6o_A_1N1_5811,2y6o,A,1N1,,EphA4,MUS MUSCULUS,,KLIFS_quality_score,8.7,unitless,template_quality,1,,5811,8.7,1.54,1N1,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/2y6o.pdb
2r2p_A_0_3412,2r2p,A,0,,EphA5,HOMO SAPIENS,,KLIFS_quality_score,8.0,unitless,template_quality,1,,3412,8,2.4,0,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/2r2p.pdb
3dko_A_IHZ_1,3dko,A,IHZ,,EphA7,HOMO SAPIENS,,KLIFS_quality_score,8.1,unitless,template_quality,1,,1,8.1,2,IHZ,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/3dko.pdb
3kul_B_0_1250,3kul,B,0,,EphA8,HOMO SAPIENS,,KLIFS_quality_score,9.4,unitless,template_quality,1,,1250,9.4,2.15,0,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/3kul.pdb
3zfx_A_0_560,3zfx,A,0,,EphB1,HOMO SAPIENS,,KLIFS_quality_score,8.9,unitless,template_quality,1,,560,8.9,2.5,0,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/3zfx.pdb
2hen_D_ADP_5803,2hen,D,ADP,,EphB2,MUS MUSCULUS,,KLIFS_quality_score,8.8,unitless,template_quality,1,,5803,8.8,2.6,ADP,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/2hen.pdb
3zfm_A_0_2731,3zfm,A,0,,EphB2,HOMO SAPIENS,,KLIFS_quality_score,6.2,unitless,template_quality,1,,2731,6.2,2.27,0,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/3zfm.pdb
5l6p_A_6P8_6937,5l6p,A,6P8,,EphB3,HOMO SAPIENS,,KLIFS_quality_score,8.8,unitless,template_quality,1,,6937,8.8,2.26,6P8,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/5l6p.pdb
2x9f_A_X9F_359,2x9f,A,X9F,,EphB4,HOMO SAPIENS,,KLIFS_quality_score,9.7,unitless,template_quality,1,,359,9.7,1.75,X9F,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/2x9f.pdb
7pcd_A_70I_14320,7pcd,A,70I,,ErbB2,HOMO SAPIENS,,KLIFS_quality_score,8.0,unitless,template_quality,1,,14320,8,1.77,70I,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/7pcd.pdb
3lmg_B_ANP_1936,3lmg,B,ANP,,ErbB3,HOMO SAPIENS,,KLIFS_quality_score,9.7,unitless,template_quality,1,,1936,9.7,2.8,ANP,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/3lmg.pdb
2r4b_B_GW7_2818,2r4b,B,GW7,,ErbB4,HOMO SAPIENS,,KLIFS_quality_score,9.2,unitless,template_quality,1,,2818,9.2,2.4,GW7,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/2r4b.pdb
4pl3_A_ADP_5769,4pl3,A,ADP,,IRE1,MUS MUSCULUS,,KLIFS_quality_score,9.6,unitless,template_quality,1,,5769,9.6,2.9,ADP,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/4pl3.pdb
4z7h_B_4L5_1801,4z7h,B,4L5,,IRE1,HOMO SAPIENS,,KLIFS_quality_score,9.7,unitless,template_quality,1,,1801,9.7,2.9,4L5,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/4z7h.pdb
3bkb_A_STU_2810,3bkb,A,STU,,FES,HOMO SAPIENS,,KLIFS_quality_score,9.7,unitless,template_quality,1,,2810,9.7,1.78,STU,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/3bkb.pdb
4uwb_B_JVT_6018,4uwb,B,JVT,,FGFR1,HOMO SAPIENS,,KLIFS_quality_score,9.7,unitless,template_quality,1,,6018,9.7,2.31,JVT,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/4uwb.pdb
4j98_B_ACP_472,4j98,B,ACP,,FGFR2,HOMO SAPIENS,,KLIFS_quality_score,9.7,unitless,template_quality,1,,472,9.7,2.31,ACP,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/4j98.pdb
8udu_A_WIQ_15204,8udu,A,WIQ,,FGFR3,HOMO SAPIENS,,KLIFS_quality_score,8.0,unitless,template_quality,1,,15204,8,1.737,WIQ,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/8udu.pdb
7wcx_A_90F_14166,7wcx,A,90F,,FGFR4,HOMO SAPIENS,,KLIFS_quality_score,9.6,unitless,template_quality,1,,14166,9.6,2.175,90F,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/7wcx.pdb
7uy3_A_OJL_14567,7uy3,A,OJL,,FGR,HOMO SAPIENS,,KLIFS_quality_score,9.6,unitless,template_quality,1,,14567,9.6,2.99,OJL,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/7uy3.pdb
3hng_A_8ST_3837,3hng,A,8ST,,FLT1,HOMO SAPIENS,,KLIFS_quality_score,7.6,unitless,template_quality,1,,3837,7.6,2.7,8ST,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/3hng.pdb
5x02_A_F6M_9522,5x02,A,F6M,,FLT3,HOMO SAPIENS,,KLIFS_quality_score,9.1,unitless,template_quality,1,,9522,9.1,2.4,F6M,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/5x02.pdb
2dq7_X_STU_1941,2dq7,X,STU,,FYN,HOMO SAPIENS,,KLIFS_quality_score,8.0,unitless,template_quality,1,,1941,8,2.8,STU,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/2dq7.pdb
4c58_A_824_333,4c58,A,824,,GAK,HOMO SAPIENS,,KLIFS_quality_score,9.4,unitless,template_quality,1,,333,9.4,2.16,824,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/4c58.pdb
3v5w_A_8PR_1705,3v5w,A,8PR,,BARK1,HOMO SAPIENS,,KLIFS_quality_score,8.0,unitless,template_quality,1,,1705,8,2.07,8PR,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/3v5w.pdb
4yhj_A_AN2_422,4yhj,A,AN2,,GPRK4,HOMO SAPIENS,,KLIFS_quality_score,8.0,unitless,template_quality,1,,422,8,2.6,AN2,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/4yhj.pdb
4tnd_A_ANP_3275,4tnd,A,ANP,,GPRK5,HOMO SAPIENS,,KLIFS_quality_score,8.0,unitless,template_quality,1,,3275,8,1.8,ANP,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/4tnd.pdb
2acx_B_ANP_417,2acx,B,ANP,,GPRK6,HOMO SAPIENS,,KLIFS_quality_score,8.0,unitless,template_quality,1,,417,8,2.6,ANP,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/2acx.pdb
7o7i_A_0_13996,7o7i,A,0,,HIPK3,HOMO SAPIENS,,KLIFS_quality_score,9.6,unitless,template_quality,1,,13996,9.6,2.5,0,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/7o7i.pdb
7tym_A_0_14611,7tym,A,0,,IRR,HOMO SAPIENS,,KLIFS_quality_score,4.0,unitless,template_quality,1,,14611,4,3.4,0,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/7tym.pdb
3lxl_A_IZA_434,3lxl,A,IZA,,JAK3,HOMO SAPIENS,,KLIFS_quality_score,9.9,unitless,template_quality,1,,434,9.9,1.74,IZA,KLIFS template structure,/ocean/projects/cis260039p/mjaju/projects/data/raw/pdb/3lxl.pdb
